timestamp,symbol,event,side,mode,price,size,margin_used,pnl_pct,pnl_usdt,balance,entry_type,score,killzone,dow,regime,note
2026-05-09T19:30:01.473786,BTC/USDT:USDT,open_short_standalone,short,paper,89106.8,0.003367,100.01,,,4899.99,C,6,London_Open,2,ranging,sizing=1.00
2026-05-09T19:30:01.620311,BTC/USDT:USDT,tp1_short,short,paper,87857.9,0.0006734000000000001,,1.4,20.84,4920.83,,,,5,,
2026-05-09T19:30:01.704973,BTC/USDT:USDT,tp2_short,short,paper,86978.7,0.00053872,,2.39,17.15,4937.98,,,,5,,
2026-05-09T19:30:01.713825,BTC/USDT:USDT,tp3_short,short,paper,84898.0,0.000646464,,4.72,21.92,4959.9,,,,5,,
2026-05-09T19:30:03.185267,BTC/USDT:USDT,short_trail_close,short,paper,69596.5,0.001508416,,21.9,29.43,5034.14,,,,5,,
2026-05-09T19:30:03.418523,BTC/USDT:USDT,open_short_standalone,short,paper,70393.5,0.002983,69.99,,,4964.14,C,5,London_Open,0,trending,sizing=0.70
2026-05-09T19:30:03.434227,BTC/USDT:USDT,tp1_short,short,paper,69588.0,0.0005966000000000001,,1.14,14.48,4978.62,,,,5,,
2026-05-09T19:30:03.443282,BTC/USDT:USDT,tp2_short,short,paper,68694.0,0.00047728,,2.41,12.01,4990.63,,,,5,,
2026-05-09T19:30:03.771316,BTC/USDT:USDT,tp3_short,short,paper,67548.8,0.0005727359999999999,,4.04,15.07,5005.7,,,,5,,
2026-05-09T19:30:04.339758,BTC/USDT:USDT,short_trail_close,short,paper,69731.3,0.001336384,,0.94,0.88,5037.94,,,,5,,
2026-05-09T19:30:07.135486,BTC/USDT:USDT,open_long,long,paper,66539.9,0.004509,100.01,,,4937.93,C,6,NY_AM,1,exhaustion,adapt=1.00
2026-05-09T19:30:07.144433,BTC/USDT:USDT,tp1,long,paper,67692.5,0.0009018,,1.73,21.04,4958.98,,,,5,,
2026-05-09T19:30:07.153608,BTC/USDT:USDT,tp2,long,paper,68137.4,0.0007214400000000001,,2.4,17.15,4976.13,,,,5,,
2026-05-09T19:30:07.254822,BTC/USDT:USDT,tp3,long,paper,69464.5,0.0008657280000000001,,4.4,21.73,4997.86,,,,5,,
2026-05-09T19:30:07.927785,BTC/USDT:USDT,trailing_stop,long,paper,66198.4,0.002020032,,-0.51,-0.69,5041.98,,,,5,,
2026-05-09T19:30:07.981317,BTC/USDT:USDT,open_short_standalone,short,paper,67504.8,0.003111,70.0,,,4971.98,C,5,London_Open,0,trending,sizing=0.70
2026-05-09T19:30:08.019690,BTC/USDT:USDT,dca_short_1,short,paper,68939.9,0.002176,50.0,-2.13,,4921.97,,,,5,,
2026-05-09T19:30:08.095717,BTC/USDT:USDT,dca_short_2,short,paper,70242.0,0.003203,75.0,-3.15,,4846.98,,,,5,,
2026-05-09T19:30:08.568828,BTC/USDT:USDT,dca_short_3,short,paper,72421.2,0.004142,99.99,-5.1,,4746.99,,,,5,,
2026-05-09T19:30:09.050581,BTC/USDT:USDT,hard_stop_short,short,paper,74360.3,0.012632,,-6.14,-54.34,4987.63,,,,5,,
2026-05-09T19:30:10.205171,BTC/USDT:USDT,open_short_standalone,short,paper,70067.0,0.004282,100.01,,,4887.62,C,5,NY_AM,1,exhaustion,sizing=1.00
2026-05-09T19:30:10.235139,BTC/USDT:USDT,tp1_short,short,paper,69205.0,0.0008564000000000001,,1.23,20.74,4908.36,,,,5,,
2026-05-09T19:30:10.313523,BTC/USDT:USDT,short_trail_close,short,paper,70938.1,0.0034256,,-1.24,-2.98,4985.39,,,,5,,
2026-05-09T19:30:11.103273,BTC/USDT:USDT,open_short_standalone,short,paper,67595.9,0.003107,70.01,,,4915.38,C,5,London_Open,0,trending,sizing=0.70
2026-05-09T19:30:11.172504,BTC/USDT:USDT,tp1_short,short,paper,66805.2,0.0006214,,1.17,14.49,4929.87,,,,5,,
2026-05-09T19:30:11.323748,BTC/USDT:USDT,tp2_short,short,paper,66099.3,0.0004971200000000001,,2.21,11.95,4941.82,,,,5,,
2026-05-09T19:30:11.469348,BTC/USDT:USDT,dca_short_1,short,paper,69069.1,0.002171,49.98,-2.18,,4891.84,,,,5,,
2026-05-09T19:30:12.214807,BTC/USDT:USDT,short_trail_close,short,paper,69051.9,0.00415948,,-1.01,-2.86,4983.76,,,,5,,
2026-05-09T19:30:14.146817,BTC/USDT:USDT,open_long,long,paper,74795.5,0.002808,70.01,,,4913.76,C,6,London_Open,0,ranging,adapt=1.00
2026-05-09T19:30:14.196066,BTC/USDT:USDT,tp1,long,paper,75668.1,0.0005616000000000001,,1.17,14.49,4928.25,,,,5,,
2026-05-09T19:30:14.215349,BTC/USDT:USDT,tp2,long,paper,76388.8,0.00044928000000000004,,2.13,11.92,4940.16,,,,5,,
2026-05-09T19:30:14.393258,BTC/USDT:USDT,tp3,long,paper,77568.1,0.000539136,,3.71,14.94,4955.1,,,,5,,
